Kategori,Pendengaran,Penglihatan,Pertuturan,Fizikal,Masalah Pembelajaran,Mental,Pelbagai,Tidak Diketahui
Lelaki,1204,2487,158,12525,10434,2209,1079,48
Perempuan,923,1369,83,6275,4213,1545,659,25
