Kategori,Pendengaran,Penglihatan,Pertuturan,Fizikal,Masalah Pembelajaran,Mental,Pelbagai,Tidak Diketahui
Lelaki,2012,3325,187,15289,11637,3442,1694,51
Perempuan,1604,1898,140,7283,6037,2286,1089,37
