Kategori,Pendengaran,Penglihatan,Pertuturan,Fizikal,Masalah Pembelajaran,Mental,Pelbagai,Tidak Diketahui
Lelaki,10023,10889,524,44102,45183,8547,5295,641
Perempuan,8358,6004,312,19883,26492,5186,3640,489
