Kategori,Pendengaran,Penglihatan,Pertuturan,Fizikal,Masalah Pembelajaran,Mental,Pelbagai,Tidak Diketahui
Lelaki,1408,2563,207,13375,10748,2591,1308,4
Perempuan,1126,1469,98,6525,4482,1679,830,5
