Kategori,Pendengaran,Penglihatan,Pertuturan,Fizikal,Masalah Pembelajaran,Mental,Pelbagai,Tidak Diketahui
Lelaki,2851,4466,268,19613,17117,4283,2389,157
Perempuan,2424,2521,185,9609,9222,2591,1615,98
