Kategori,Pendengaran,Penglihatan,Pertuturan,Fizikal,Masalah Pembelajaran,Mental,Pelbagai,Tidak Diketahui
Lelaki,1579,2975,218,13691,10362,3152,1493,13
Perempuan,1245,1662,129,6567,5193,1935,909,9
